common_name,contract_area,height_in_metres,spread_in_metres,maturity,physiological_condition,carbon_storage_in_kilograms,pollution_removal_per_year_in_grams
Maple - Norway,Highways,5,3,Middle aged,Good,5.2,15.9
London plane,Highways,19,7,Mature,Fair,456.1,230.9
Holly,Corporate Landlord,6,6,Middle aged,Good,99.5,88.5
Hawthorn,Highways,7,5,Middle aged,Good,52.9,68.7
Lime - Common,Housing,15,4,Mature,Fair,200.1,86.7
Willow - White,Parks,15,6,Mature,Good,148.1,212.2
Horse Chestnut,Highways,15,13,Mature,Fair,1582.7,453.8
Maple - Caucasian,Highways,8,4,Mature,Fair,125,50.1
"Rowan, Mountain Ash",Highways,6,2,Middle aged,Poor,19.7,12.6
Cypress - Lawson,Housing,16,3,Mature,Fair,49.5,50.6
Horse Chestnut,Parks,25,18,Mature,Good,2569.4,1259.1
Lime - Common,Highways,14,5,Mature,Good,509.5,164.9
Maple - Norway,Highways,13,7,Mature,Fair,204,182.3
Apple - Crab,Highways,3,1,Juvenile,Good,1.4,3.8
London plane,Highways,12,8,Mature,Poor,233.3,302.7
Birch - Silver,Highways,3,1,Juvenile,Good,2.7,3.3
Birch - Chinese Red,Housing,2.5,1,Juvenile,Dead,1.5,3.3
June Berry,Highways,6,2,Middle aged,Fair,13,9.2
Cherry - Sargent's,Highways,6,4,Middle aged,Good,4.3,11.6
Wier maple,Housing,20,10,Mature,Good,1197.6,329
Ash - Narrow-leafed,Housing,16,7,Mature,Fair,254,157.9
Elm - Smoothleaf,Housing,17,5,Mature,Good,273.6,101.4
Horse chestnut - Red,Housing,16,7,Mature,Fair,554.5,215.4
Lime - Caucasian,Highways,7,5,Middle aged,Good,36.6,85.3
London plane,Highways,12,7,Mature,Good,1777.6,248.7
Beech - Common,Parks,16,9,Mature,Good,485.6,416.8
Maple - Norway,Highways,4,2,Juvenile,Fair,5,14.6
"Cherry - Wild, Gean",Housing,12,12,Mature,Good,215.6,355.6
Hawthorn - Common,Parks,2,1,Over Mature,Fair,18.8,3.7
Hawthorn - Common,Education,4,3,Mature,Fair,12.4,23.3
Japanese zelkova,Highways,3,2,Juvenile,Good,2.4,8.5
Hazel - Common,Education,5,2,Mature,Fair,12.8,12.6
Maple,Parks,5,2,Middle aged,Fair,15.6,14.2
Plum,Highways,8,3,Middle aged,Fair,39.8,31.7
Cherry,Housing,3,3,Juvenile,Good,8.6,19.4
Horse Chestnut,Highways,14,12,Mature,Fair,1106.4,454.5
Lime - Large-leaved,Highways,14,8,Mature,Good,811.4,347.7
June berry,Highways,4,2,Juvenile,Good,3.7,8.6
Plum,Housing,6,2,Middle aged,Good,4.3,12.6
Cherry,Highways,4,5,Middle aged,Good,23.1,11.6
Plum,Highways,5,7,Mature,Fair,272,76.4
Hawthorn,Housing,6,3,Middle aged,Good,33.9,33.4
Lime - Common,Highways,15,3,Mature,Fair,650.3,40.2
"Cherry - Wild, Gean",Housing,10,6,Middle aged,Fair,461.6,119.3
Sycamore,Education,16,11,Mature,Fair,624.2,397.5
Whitebeam,Highways,7,4,Middle aged,Good,85.3,39.3
Rowan - 'Golden Wonder',Highways,6,3,Middle aged,Good,19.9,29.3
London plane,Highways,16,13,Mature,Fair,2558.7,667
Whitebeam,Housing,5,5,Mature,Fair,255.6,44.5
London plane,Highways,8,5,Mature,Fair,338.7,87.5
Sycamore,Education,13,11,Mature,Fair,460.9,423.5
London plane,Highways,24,16,Mature,Good,3732,1057
London plane,Highways,10,6,Mature,Good,1004.9,155.2
Willow - Goat,Housing,10,6,Middle aged,Good,364.5,117.2
